Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
SYNCRIP	ENST00000355238.6	synaptotagmin binding, cytoplasmic RNA interacting protein 	4864	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.37	-0.37	0.95	2011
B3GNT7	ENST00000287590.5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7 	5	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p				-0.37	-0.37	0.96	2011
ANKRD52	ENST00000267116.7	ankyrin repeat domain 52 	2913	1	0	0	1	2	0	1	1	0	mmu-let-7d-5p				-0.37	-0.37	0.93	2009, 2011
KIAA1958	ENST00000337530.6	KIAA1958 	117	2	0	1	1	0	0	0	0	0	mmu-let-7d-5p				-0.37	-0.44	0.99	NULL
NAA30	ENST00000556492.1	N(alpha)-acetyltransferase 30, NatC catalytic subunit 	418	2	0	1	1	1	0	0	1	0	mmu-let-7d-5p				-0.37	-0.60	0.94	2007, 2009, 2011
COL9A1	ENST00000357250.6	collagen, type IX, alpha 1 	9	1	0	0	1	1	0	1	0	0	mmu-let-7d-5p				-0.36	-0.46	0.80	NULL
MGLL	ENST00000434178.2	monoglyceride lipase 	453	2	0	1	1	0	0	0	0	0	mmu-let-7d-5p				-0.36	-0.39	> 0.99	2005, 2007, 2009, 2011
RFX6	ENST00000332958.2	regulatory factor X, 6 	14	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.36	-0.36	> 0.99	2005, 2007, 2009, 2011
RBMS1	ENST00000348849.3	RNA binding motif, single stranded interacting protein 1 	90	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.36	-0.36	0.95	2011
CBX2	ENST00000310942.4	chromobox homolog 2 	1816	1	0	1	0	0	0	0	0	0	mmu-let-7d-5p				-0.36	-0.36	0.97	2007, 2009, 2011
TSPAN18	ENST00000340160.3	tetraspanin 18 	332	1	0	1	0	0	0	0	0	1	mmu-let-7f-5p				-0.36	-0.36	0.98	2011
SMARCC1	ENST00000254480.5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1 	727	1	0	1	0	1	0	0	1	0	mmu-let-7d-5p				-0.36	-0.45	0.98	2005, 2007, 2009, 2011
CECR6	ENST00000399875.1	cat eye syndrome chromosome region, candidate 6 	5	1	0	1	0	0	0	0	0	0	mmu-let-7i-5p				-0.36	-0.36	> 0.99	2005, 2007, 2009, 2011
ST8SIA1	ENST00000396037.4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1 	5	1	0	1	0	1	0	0	1	1	mmu-let-7g-5p				-0.36	-0.36	0.87	2009, 2011
COL1A2	ENST00000297268.6	collagen, type I, alpha 2 	877	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.36	-0.42	0.95	2011
GPR156	ENST00000464295.1	G protein-coupled receptor 156 	12	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.36	-0.36	0.96	2011
CALML5	ENST00000380332.3	calmodulin-like 5 	5	1	0	1	0	0	0	0	0	0	mmu-let-7d-5p				-0.36	-0.36	0.63	NULL
TRHDE	ENST00000261180.4	thyrotropin-releasing hormone degrading enzyme 	34	2	0	0	2	0	0	0	0	0	mmu-let-7d-5p				-0.36	-0.67	> 0.99	2005, 2007, 2009, 2011
DUSP9	ENST00000370167.4	dual specificity phosphatase 9 	3766	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.36	-0.36	0.92	2005, 2007, 2009, 2011
CEBPD	ENST00000408965.3	CCAAT/enhancer binding protein (C/EBP), delta 	61	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.36	-0.36	0.95	2009, 2011
GREB1L	ENST00000580732.2	growth regulation by estrogen in breast cancer-like 	30	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.36	-0.36	0.93	NULL
GRIN2B	ENST00000609686.1	glutamate receptor, ionotropic, N-methyl D-aspartate 2B 	5	1	0	0	1	1	0	0	1	4	mmu-let-7d-5p				-0.36	-0.36	0.92	NULL
CYP46A1	ENST00000261835.3	cytochrome P450, family 46, subfamily A, polypeptide 1 	16	1	0	1	0	0	0	0	0	0	mmu-let-7e-5p				-0.36	-0.36	0.86	2007, 2009, 2011
ZNF697	ENST00000421812.2	zinc finger protein 697 	43	1	0	1	0	1	0	1	0	0	mmu-let-7d-5p				-0.36	-0.38	0.82	2007, 2009, 2011
VAV3	ENST00000370056.4	vav 3 guanine nucleotide exchange factor 	1128	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.36	-0.37	0.95	2005, 2007, 2009, 2011
ERGIC1	ENST00000393784.3	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1 	4614	1	0	1	0	0	0	0	0	0	mmu-let-7b-5p				-0.36	-0.36	0.99	2011
IRS2	ENST00000375856.3	insulin receptor substrate 2 	231	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.36	-0.36	0.89	2005, 2007, 2009, 2011
TNFRSF1B	ENST00000376259.3	tumor necrosis factor receptor superfamily, member 1B 	243	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.36	-0.36	0.96	2005, 2007, 2009, 2011
PPP2R2A	ENST00000380737.3	protein phosphatase 2, regulatory subunit B, alpha 	236	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.36	-0.38	0.80	2011
SCN4B	ENST00000324727.4	sodium channel, voltage-gated, type IV, beta subunit 	13	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.35	-0.35	0.95	2011
RNF39	ENST00000376751.3	ring finger protein 39 	7	1	0	1	0	0	0	0	0	1	mmu-let-7f-5p				-0.35	-0.35	0.69	2011
BZW2	ENST00000258761.3	basic leucine zipper and W2 domains 2 	3418	1	0	1	0	0	0	0	0	0	mmu-let-7b-5p				-0.35	-0.36	0.69	2007, 2009, 2011
PXMP4	ENST00000344022.3	peroxisomal membrane protein 4, 24kDa 	158	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.35	-0.35	< 0.1	NULL
GALNT2	ENST00000366672.4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2) 	2834	1	0	0	1	0	0	0	0	1	mmu-let-7d-5p				-0.35	-0.41	0.87	2005, 2007, 2009, 2011
SPOCD1	ENST00000373648.2	SPOC domain containing 1 	755	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.35	-0.35	< 0.1	NULL
ATP2A2	ENST00000395494.2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 	2042	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.35	-0.36	0.94	2005, 2007, 2011
C15orf41	ENST00000567389.1	chromosome 15 open reading frame 41 	48	1	0	1	0	0	0	0	0	0	mmu-let-7d-5p				-0.35	-0.35	0.72	2007
PLCXD3	ENST00000377801.3	phosphatidylinositol-specific phospholipase C, X domain containing 3 	81	1	0	1	0	1	0	0	1	0	mmu-let-7d-5p				-0.35	-0.38	0.43	2005, 2007, 2011
GPR26	ENST00000284674.1	G protein-coupled receptor 26 	5	1	1	0	0	1	0	1	0	1	mmu-let-7d-5p				-0.35	-0.35	0.96	2009, 2011
SEMA4C	ENST00000305476.5	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C 	31	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.35	-0.35	0.95	2005, 2007, 2009, 2011
PLEKHA8	ENST00000449726.1	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8 	661	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.35	-0.38	0.96	2011
PXDN	ENST00000252804.4	peroxidasin homolog (Drosophila) 	872	2	0	0	2	0	0	0	0	0	mmu-let-7d-5p				-0.35	-0.54	> 0.99	2007, 2009, 2011
RRM2	ENST00000360566.2	ribonucleotide reductase M2 	3907	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.35	-0.61	0.96	2007, 2009, 2011
ABHD14A	ENST00000491470.1	abhydrolase domain containing 14A 	523	1	0	1	0	0	0	0	0	0	mmu-let-7d-5p				-0.34	-0.34	< 0.1	NULL
SURF4	ENST00000545297.1	surfeit 4 	3667	1	0	0	1	1	0	0	1	0	mmu-let-7d-5p				-0.34	-0.43	0.91	2005, 2007, 2009, 2011
THBS1	ENST00000260356.5	thrombospondin 1 	46844	1	0	0	1	0	0	0	0	0	mmu-let-7a-5p				-0.34	-0.36	0.96	2009, 2011
WASL	ENST00000223023.4	Wiskott-Aldrich syndrome-like 	230	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.34	-0.35	0.89	2009, 2011
OLR1	ENST00000543993.1	oxidized low density lipoprotein (lectin-like) receptor 1 	15	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.34	-0.56	0.92	2005, 2007, 2009, 2011
SCYL3	ENST00000367771.6	SCY1-like 3 (S. cerevisiae) 	124	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.34	-0.34	0.96	2005, 2007, 2009, 2011
IMPG2	ENST00000193391.7	interphotoreceptor matrix proteoglycan 2 	5	1	1	0	0	0	0	0	0	0	mmu-let-7i-5p				-0.34	-0.34	0.81	2011
OSTF1	ENST00000346234.6	osteoclast stimulating factor 1 	107	1	0	0	1	1	0	0	1	0	mmu-let-7d-5p				-0.34	-0.50	0.93	NULL
RRAGD	ENST00000369415.4	Ras-related GTP binding D 	644	1	0	0	1	1	0	0	1	0	mmu-let-7d-5p				-0.34	-0.50	0.96	2011
TMEM65	ENST00000297632.6	transmembrane protein 65 	769	1	0	0	1	0	0	0	0	0	mmu-let-7g-5p				-0.34	-0.34	0.96	2007, 2009, 2011
ESPL1	ENST00000257934.4	extra spindle pole bodies homolog 1 (S. cerevisiae) 	96	1	0	1	0	0	0	0	0	0	mmu-let-7d-5p				-0.34	-0.34	0.36	2011
GDPD1	ENST00000284116.4	glycerophosphodiester phosphodiesterase domain containing 1 	138	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.34	-0.36	0.95	2005, 2007, 2009, 2011
PLD3	ENST00000409587.1	phospholipase D family, member 3 	2440	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.34	-0.35	0.40	2005, 2007, 2009, 2011
IKBKE	ENST00000367120.3	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon 	334	1	0	1	0	0	0	0	0	0	mmu-let-7b-5p				-0.34	-0.34	0.89	2011
CDH22	ENST00000372262.3	cadherin 22, type 2 	5	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.34	-0.34	0.70	2011
AP1S1	ENST00000337619.5	adaptor-related protein complex 1, sigma 1 subunit 	750	1	0	1	0	1	0	1	0	0	mmu-let-7g-5p				-0.34	-0.74	0.98	2005, 2007, 2009, 2011
ADRB1	ENST00000369295.2	adrenoceptor beta 1 	12	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.34	-0.34	0.94	2007, 2009, 2011
USP21	ENST00000289865.8	ubiquitin specific peptidase 21 	5	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.34	-0.34	0.90	2005, 2007, 2009, 2011
CNNM4	ENST00000540067.1	cyclin M4 	1249	1	0	1	0	0	0	0	0	0	mmu-let-7b-5p				-0.34	-0.34	0.90	2009, 2011
CHRNA7	ENST00000306901.3	cholinergic receptor, nicotinic, alpha 7 (neuronal) 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.34	-0.34	0.93	NULL
MAP3K1	ENST00000399503.3	mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase 	137	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.34	-0.34	0.95	2009, 2011
RBFOX2	ENST00000449924.2	RNA binding protein, fox-1 homolog (C. elegans) 2 	262	1	0	0	1	0	0	0	0	1	mmu-miR-98-5p				-0.34	-0.34	0.95	2005, 2007, 2009, 2011
ZNF341	ENST00000342427.2	zinc finger protein 341 	10	1	0	1	0	0	0	0	0	0	mmu-let-7g-5p				-0.34	-0.34	0.57	NULL
CBL	ENST00000264033.4	Cbl proto-oncogene, E3 ubiquitin protein ligase 	309	1	1	0	0	2	0	1	1	2	mmu-let-7d-5p				-0.34	-0.34	0.95	2011
KDM3A	ENST00000409556.1	lysine (K)-specific demethylase 3A 	2300	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.34	-0.34	0.96	2005, 2007
TMOD2	ENST00000249700.4	tropomodulin 2 (neuronal) 	117	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.34	-0.40	0.96	2011
PLA2G15	ENST00000566188.1	phospholipase A2, group XV 	2670	1	0	1	0	0	0	0	0	1	mmu-let-7g-5p				-0.34	-0.34	0.67	2005, 2007, 2009, 2011
NRP2	ENST00000360409.3	neuropilin 2 	146	1	0	0	1	0	0	0	0	1	mmu-let-7a-5p				-0.34	-0.34	0.89	2011
PALM3	ENST00000340790.4	paralemmin 3 	5	1	0	1	0	0	0	0	0	0	mmu-let-7b-5p				-0.34	-0.34	0.76	2011
RNF20	ENST00000389120.3	ring finger protein 20, E3 ubiquitin protein ligase 	772	1	0	1	0	0	0	0	0	0	mmu-let-7b-5p				-0.33	-0.33	0.97	2005, 2007, 2011
TMC7	ENST00000421369.3	transmembrane channel-like 7 	54	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.33	-0.33	0.92	2005, 2007, 2009, 2011
DUSP4	ENST00000240100.2	dual specificity phosphatase 4 	245	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.33	-0.33	0.95	2007, 2009, 2011
NEFM	ENST00000433454.2	neurofilament, medium polypeptide 	5	1	0	0	1	0	0	0	0	0	mmu-miR-98-5p				-0.33	-0.33	0.89	2007, 2009, 2011
TSC22D2	ENST00000361875.3	TSC22 domain family, member 2 	1062	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.33	-0.33	0.96	2005, 2007, 2009, 2011
RAB40C	ENST00000248139.3	RAB40C, member RAS oncogene family 	421	1	0	1	0	0	0	0	0	0	mmu-miR-98-5p				-0.33	-0.33	0.92	2005, 2007, 2009, 2011
RNF165	ENST00000269439.7	ring finger protein 165 	18	1	0	0	1	0	0	0	0	1	mmu-let-7d-5p				-0.33	-0.33	0.89	2007, 2009, 2011
CADM2	ENST00000383699.3	cell adhesion molecule 2 	5	1	0	1	0	0	0	0	0	0	mmu-let-7f-5p				-0.33	-0.33	0.69	NULL
GOLGA7	ENST00000405786.2	golgin A7 	34	1	0	1	0	0	0	0	0	1	mmu-let-7d-5p				-0.33	-0.35	0.68	2005, 2007, 2009, 2011
SEC14L5	ENST00000251170.7	SEC14-like 5 (S. cerevisiae) 	5	1	1	0	0	1	0	1	0	0	mmu-let-7d-5p				-0.33	-0.33	0.96	2009, 2011
MOB4	ENST00000233892.4	MOB family member 4, phocein 	123	1	0	0	1	0	0	0	0	0	mmu-let-7g-5p				-0.33	-0.37	0.95	2005, 2007, 2009, 2011
SSH1	ENST00000360239.3	slingshot protein phosphatase 1 	115	1	0	1	0	0	0	0	0	1	mmu-let-7b-5p				-0.33	-0.34	> 0.99	2005, 2007, 2009, 2011
FNDC3A	ENST00000492622.2	fibronectin type III domain containing 3A 	122	2	0	1	1	0	0	0	0	1	mmu-let-7f-5p				-0.33	-0.57	0.98	2005, 2007, 2009, 2011
PLXNC1	ENST00000258526.4	plexin C1 	47	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p				-0.33	-0.33	0.93	2011
CCNY	ENST00000374706.1	cyclin Y 	672	1	0	1	0	0	0	0	0	0	mmu-let-7g-5p				-0.33	-0.41	> 0.99	2011
ZNF451	ENST00000370708.4	zinc finger protein 451 	190	1	0	0	1	0	0	0	0	1	mmu-let-7d-5p				-0.33	-0.35	0.82	NULL
LMX1A	ENST00000342310.3	LIM homeobox transcription factor 1, alpha 	5	1	0	1	0	1	0	1	0	0	mmu-let-7b-5p				-0.33	-0.33	0.83	2007, 2009, 2011
EGLN2	ENST00000593726.1	egl-9 family hypoxia-inducible factor 2 	19	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.33	-0.33	0.74	2005, 2007, 2009, 2011
PKN2	ENST00000370521.3	protein kinase N2 	747	1	0	0	1	1	0	0	1	0	mmu-let-7d-5p				-0.33	-0.33	0.85	2007, 2009
SNAP23	ENST00000249647.3	synaptosomal-associated protein, 23kDa 	99	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.33	-0.33	0.85	2005, 2007, 2009, 2011
HABP4	ENST00000375251.3	hyaluronan binding protein 4 	467	1	0	1	0	0	0	0	0	0	mmu-let-7g-5p				-0.33	-0.40	0.96	2009, 2011
MED8	ENST00000372457.4	mediator complex subunit 8 	745	1	0	1	0	0	0	0	0	0	mmu-let-7f-5p				-0.33	-0.36	0.84	2011
NID2	ENST00000216286.5	nidogen 2 (osteonidogen) 	4292	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.33	-0.33	0.75	2005, 2007, 2009, 2011
TMPRSS2	ENST00000332149.5	transmembrane protease, serine 2 	11	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p				-0.32	-0.47	0.95	2007, 2009, 2011
TSPEAR	ENST00000323084.4	thrombospondin-type laminin G domain and EAR repeats 	5	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.32	-0.32	0.91	2005, 2007, 2011
PTPRU	ENST00000428026.2	protein tyrosine phosphatase, receptor type, U 	261	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.32	-0.32	< 0.1	2011
RFFL	ENST00000315249.7	ring finger and FYVE-like domain containing E3 ubiquitin protein ligase 	670	1	0	1	0	0	0	0	0	1	mmu-let-7f-5p				-0.32	-0.40	0.38	NULL
ETNK2	ENST00000367201.3	ethanolamine kinase 2 	7	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.32	-0.32	0.80	2005, 2007, 2009, 2011
MYCBP	ENST00000397572.2	MYC binding protein 	85	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.32	-0.54	0.96	2011
IGDCC4	ENST00000352385.2	immunoglobulin superfamily, DCC subclass, member 4 	12	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.32	-0.32	0.94	2005, 2007, 2009, 2011
CALN1	ENST00000329008.5	calneuron 1 	5	1	0	0	1	1	0	0	1	1	mmu-let-7d-5p				-0.32	-0.32	0.83	2009, 2011
PDSS1	ENST00000376203.5	prenyl (decaprenyl) diphosphate synthase, subunit 1 	41	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.32	-0.32	< 0.1	NULL
LIMD1	ENST00000273317.4	LIM domains containing 1 	1092	1	0	0	1	0	0	0	0	0	mmu-let-7b-5p				-0.32	-0.33	0.95	2005, 2007, 2009, 2011
C5orf51	ENST00000381647.2	chromosome 5 open reading frame 51 	124	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.32	-0.32	0.94	2005, 2007, 2009, 2011
PLXND1	ENST00000393239.1	plexin D1 	211	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.32	-0.33	0.95	2007, 2009, 2011
PDHB	ENST00000474765.1	pyruvate dehydrogenase (lipoamide) beta 	1549	1	0	0	1	1	0	0	1	0	mmu-miR-98-5p				-0.32	-0.42	< 0.1	NULL
HECTD2	ENST00000371667.1	HECT domain containing E3 ubiquitin protein ligase 2 	1514	1	0	0	1	0	0	0	0	0	mmu-let-7f-5p				-0.32	-0.33	0.76	2005, 2007
FNIP1	ENST00000307968.7	folliculin interacting protein 1 	32	1	1	0	0	0	0	0	0	0	mmu-let-7a-5p				-0.32	-0.32	0.96	2007, 2009, 2011
FAM135A	ENST00000418814.2	family with sequence similarity 135, member A 	611	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.32	-0.32	0.89	2005, 2007, 2009, 2011
CBFA2T3	ENST00000327483.5	core-binding factor, runt domain, alpha subunit 2; translocated to, 3 	7	1	0	1	0	1	0	1	0	0	mmu-let-7e-5p				-0.32	-0.49	0.98	2005, 2007, 2009, 2011
HOOK1	ENST00000371208.3	hook microtubule-tethering protein 1 	804	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.32	-0.33	0.97	2007, 2009, 2011
AQP4	ENST00000383168.4	aquaporin 4 	10	1	0	1	0	1	0	0	1	1	mmu-miR-98-5p				-0.32	-0.42	0.70	2009, 2011
PDGFB	ENST00000331163.6	platelet-derived growth factor beta polypeptide 	5	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.32	-0.32	0.81	2005, 2007, 2009, 2011
NSMCE2	ENST00000287437.3	non-SMC element 2, MMS21 homolog (S. cerevisiae) 	364	1	0	1	0	0	0	0	0	1	mmu-let-7d-5p				-0.32	-0.38	0.84	2007
STOX2	ENST00000308497.4	storkhead box 2 	379	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.32	-0.32	> 0.99	NULL
CPD	ENST00000225719.4	carboxypeptidase D 	1766	1	0	1	0	0	0	0	0	1	mmu-let-7i-5p				-0.32	-0.34	0.95	2005, 2007, 2009, 2011
CDC25A	ENST00000302506.3	cell division cycle 25A 	5	1	0	1	0	0	0	0	0	0	mmu-let-7b-5p				-0.32	-0.32	0.80	2005, 2007, 2009, 2011
NKIRAS2	ENST00000462043.2	NFKB inhibitor interacting Ras-like 2 	9685	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.31	-0.32	0.91	2005, 2007, 2009, 2011
PPAPDC2	ENST00000381883.2	phosphatidic acid phosphatase type 2 domain containing 2 	263	1	0	1	0	0	0	0	0	1	mmu-let-7b-5p				-0.31	-0.41	0.90	2007, 2009, 2011
COL4A2	ENST00000360467.5	collagen, type IV, alpha 2 	879	1	0	0	1	0	0	0	0	0	mmu-miR-98-5p				-0.31	-0.31	0.96	2005, 2007, 2009, 2011
SENP2	ENST00000296257.5	SUMO1/sentrin/SMT3 specific peptidase 2 	1693	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.31	-0.31	0.95	2005, 2007, 2009, 2011
LGR4	ENST00000379214.4	leucine-rich repeat containing G protein-coupled receptor 4 	1387	1	0	1	0	1	0	0	1	0	mmu-let-7i-5p				-0.31	-0.37	0.87	2005, 2007, 2009, 2011
SENP5	ENST00000323460.5	SUMO1/sentrin specific peptidase 5 	125	1	0	0	1	1	0	0	1	0	mmu-let-7d-5p				-0.31	-0.32	0.96	2005, 2007, 2009, 2011
KCNQ4	ENST00000347132.5	potassium voltage-gated channel, KQT-like subfamily, member 4 	46	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.31	-0.31	0.93	2011
ARRDC4	ENST00000268042.6	arrestin domain containing 4 	10	1	0	1	0	0	0	0	0	1	mmu-let-7f-5p				-0.31	-0.31	0.92	2005, 2007, 2009, 2011
TSC1	ENST00000298552.3	tuberous sclerosis 1 	838	1	0	1	0	0	0	0	0	0	mmu-let-7d-5p				-0.31	-0.34	0.90	2011
NCEH1	ENST00000475381.1	neutral cholesterol ester hydrolase 1 	1779	1	0	1	0	0	0	0	0	0	mmu-miR-98-5p				-0.31	-0.31	0.44	2011
MESDC1	ENST00000267984.2	mesoderm development candidate 1 	84	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.31	-0.31	0.95	2005, 2007, 2009, 2011
CD86	ENST00000330540.2	CD86 molecule 	5	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.31	-0.31	0.50	2009, 2011
ARHGAP28	ENST00000419673.2	Rho GTPase activating protein 28 	31	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.31	-0.44	0.96	2005, 2007, 2009, 2011
CHD7	ENST00000423902.2	chromodomain helicase DNA binding protein 7 	925	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.31	-0.32	0.96	2011
HOXD1	ENST00000331462.4	homeobox D1 	35	1	0	1	0	0	0	0	0	0	mmu-let-7d-5p				-0.31	-0.31	0.83	2005, 2007, 2009, 2011
SH2B3	ENST00000341259.2	SH2B adaptor protein 3 	89	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.31	-0.31	0.95	2007, 2009, 2011
SOX13	ENST00000367204.1	SRY (sex determining region Y)-box 13 	1061	1	0	1	0	0	0	0	0	0	mmu-let-7b-5p				-0.31	-0.31	0.64	2005, 2007, 2009, 2011
TMEM2	ENST00000377044.4	transmembrane protein 2 	130	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.31	-0.36	0.96	2005, 2007, 2009, 2011
BSND	ENST00000371265.4	Bartter syndrome, infantile, with sensorineural deafness (Barttin) 	5	1	0	1	0	1	0	0	1	0	mmu-let-7d-5p				-0.31	-0.40	0.40	NULL
STARD3NL	ENST00000009041.7	STARD3 N-terminal like 	1911	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.31	-0.31	0.95	2005, 2007, 2009, 2011
GABRA6	ENST00000523217.1	gamma-aminobutyric acid (GABA) A receptor, alpha 6 	5	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.31	-0.31	0.76	2009, 2011
HSPE1-MOB4	ENST00000604458.1	HSPE1-MOB4 readthrough 	123	1	0	0	1	0	0	0	0	0	mmu-let-7g-5p				-0.31	-0.36	0.95	2011
ITGB3	ENST00000559488.1	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61) 	176	1	0	1	0	0	0	0	0	2	mmu-let-7g-5p				-0.31	-0.31	0.93	2005, 2007, 2009, 2011
RALB	ENST00000272519.5	v-ral simian leukemia viral oncogene homolog B 	527	1	0	1	0	0	0	0	0	0	mmu-let-7i-5p				-0.31	-0.31	0.90	2009, 2011
ADAM15	ENST00000360674.4	ADAM metallopeptidase domain 15 	645	1	0	1	0	0	0	0	0	0	mmu-let-7i-5p				-0.30	-0.30	< 0.1	NULL
BIN3	ENST00000276416.6	bridging integrator 3 	364	1	0	1	0	0	0	0	0	0	mmu-let-7a-5p				-0.30	-0.30	0.77	2005, 2007, 2009, 2011
CERS3	ENST00000284382.4	ceramide synthase 3 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p				-0.30	-0.30	< 0.1	2009, 2011
PIGA	ENST00000542278.1	phosphatidylinositol glycan anchor biosynthesis, class A 	104	1	0	1	0	0	0	0	0	0	mmu-let-7f-5p				-0.30	-0.31	0.98	2011
NIPAL4	ENST00000311946.7	NIPA-like domain containing 4 	17	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.30	-0.30	0.92	2009, 2011
PTPRD	ENST00000381196.4	protein tyrosine phosphatase, receptor type, D 	101	2	1	0	1	0	0	0	0	1	mmu-let-7d-5p				-0.30	-0.40	0.99	2007, 2009, 2011
GPCPD1	ENST00000379019.4	glycerophosphocholine phosphodiesterase GDE1 homolog (S. cerevisiae) 	155	1	0	0	1	0	0	0	0	0	mmu-let-7g-5p				-0.30	-0.30	0.96	2007, 2009, 2011
ADIPOR2	ENST00000357103.4	adiponectin receptor 2 	138	1	0	0	1	0	0	0	0	0	mmu-let-7d-5p				-0.30	-0.30	0.94	2005, 2007, 2009, 2011
BTG2	ENST00000290551.4	BTG family, member 2 	758	1	0	0	1	0	0	0	0	1	mmu-let-7d-5p				-0.30	-0.30	0.94	2005, 2007, 2009, 2011
